Day,Cumulative
1,3071
8,3967
11,4293
15,4390
19,4985
21,5347
25,5864
27,6263
29,6574
34,7178
36,7492
41,8033
43,8399
48,8997
50,9216
55,9936
58,10141
62,13703
64,13567
69,13042
71,13268
76,14098
78,14413
83,15145
85,15351
90,15935
95,16933
97,17145
104,17942
109,18498
111,18603
116,19374
117,19465
118,19497
120,19729
123,20115
124,20163
125,20205
127,20415
130,20690
131,20747
132,20747
133,20972
134,21086
137,21171
138,21171
139,21296
140,21364
141,21408
144,21649
145,21724
146,21724
147,21794
148,21832
151,21959
152,22092
153,22092
154,22136
155,22159
158,22369
159,22479
160,22495
161,22522
162,22560
166,22894
167,22894
168,22938
169,23034
172,23217
173,23253
174,23253
175,23401
176,23406
179,23574
181,23729
182,23816
183,23860
186,23948
188,23948
189,24018
190,24049
194,24282
195,24282
196,24385
197,24544
200,24632
201,24701
202,24701
204,24788
207,24877
208,24907
209,24907
210,24962
211,24992
222,25551
224,25567
228,25626
229,25646
230,25826
231,25866
232,25890
235,25898
236,25907
237,26079
238,26109
239,26136
242,26194
243,26312
245,26325
246,26333
249,26374
250,26571
251,26628
252,26661
253,26683
256,26757
257,26759
258,26757
259,26791
260,26799
263,26921
264,26969
265,26969
266,27007
267,27015
270,27038
271,27049
272,27049
273,27076
274,27091
277,27171
278,27181
279,27181
280,27209
281,27225
284,27255
285,27273
286,27273
287,27287
288,27311
291,27341
292,27345
293,27341
294,27367
295,27388
298,27451
299,27479
300,27479
301,27503
302,27515
305,27541
306,27550
307,27550
308,27576
309,27627
312,27600
313,27609
314,27609
315,27621
316,27636
319,27663
320,27678
321,27678
322,27679
323,27688
326,27734
327,27742
328,27741
329,27759
330,27760
333,27784
334,27785
335,27784
336,27872
337,27876
340,27896
341,27898
342,27898
343,27926
344,27931
347,27964
348,27965
349,27965
350,27984
351,27984
354,27987
355,27988
356,27988
357,28018
358,28036
361,28036
362,28041
363,28041
364,28087
365,28091
368,28101
369,28109
370,28109
371,28138
372,28139
375,28171
376,28183
377,28183
378,28196
379,28200
382,28248
383,28256
384,28256
385,28281
386,28287
389,28316
390,28331
391,28331
392,28355
393,28360
396,28407
397,28424
398,28424
399,28444
400,28448
403,28453
404,28457
405,28457
406,28463
407,28465
411,28490
413,28502
414,28504
418,28512
420,28540
421,28547
424,28564
425,28575
427,28582
428,28583
432,28607
434,28617
435,28622
439,28635
440,28635
441,28635
445,28635
446,28634
449,28634
453,28634
455,28637
460,28637
461,28637
462,28638
468,28637
469,28637
470,28637
474,28640
475,28640
476,28638
481,28637
482,28637
488,28637
573,28642
